MODEL_RUN_ID,FEATURE_NAME,POSITIVE_COUNT,TOTAL_ROWS,POSITIVE_RATE_PERCENT
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,lag_hcc_122,8787,1250233,0.7028289927
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,lag_hcc_114,8124,1250233,0.6497988775
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,state_Montana,7244,1250233,0.5794119976
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,lag_cond_ulcerative_colitis,7232,1250233,0.5784521765
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,lag_cms_multiple_sclerosis_and_transverse_myelitis,6909,1250233,0.5526169922
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,lag_hcc_167,6607,1250233,0.5284614948
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,state_Delaware,6322,1250233,0.5056657439
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,lag_hcc_77,6029,1250233,0.4822301123
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,lag_cond_endocarditis,5965,1250233,0.4771110665
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,lag_hcc_158,5935,1250233,0.4747115138
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,lag_hcc_189,5557,1250233,0.4444771495
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,lag_hcc_29,4768,1250233,0.3813689128
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,lag_hcc_159,4717,1250233,0.3772896732
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,lag_hcc_46,4717,1250233,0.3772896732
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,state_Hawaii,4532,1250233,0.3624924314
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,lag_cms_traumatic_brain_injury_and_nonpsychotic_mental_disorders_due_to_brain_damage,4398,1250233,0.3517744292
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,state_Wyoming,4219,1250233,0.337457098
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,state_Alaska,4151,1250233,0.3320181118
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,lag_cond_clostridioides_difficile_enterocolitis,4105,1250233,0.3283387976
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,lag_cms_cerebral_palsy,3986,1250233,0.3188205718
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,state_North Dakota,3852,1250233,0.3081025697
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,lag_hcc_6,3737,1250233,0.2989042842
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,state_Rhode Island,3553,1250233,0.2841870275
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,lag_hcc_1,3294,1250233,0.263470889
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,lag_hcc_80,2913,1250233,0.2329965694
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,lag_hcc_115,2879,1250233,0.2302770764
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,lag_hcc_134,2837,1250233,0.2269177025
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,lag_hcc_56,2619,1250233,0.2094809528
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,lag_hcc_70,2456,1250233,0.196443383
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,lag_hcc_71,2411,1250233,0.1928440539
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,lag_hcc_157,2141,1250233,0.1712480794
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,lag_cms_other_developmental_delays,1806,1250233,0.1444530739
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,state_Puerto Rico,1637,1250233,0.1309355936
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,lag_hcc_54,1287,1250233,0.1029408118
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,lag_hcc_76,619,1250233,0.04951077119
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,state_Guam,589,1250233,0.04711121847
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,state_Virgin Islands,581,1250233,0.04647133774
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,lag_hcc_74,499,1250233,0.0399125603
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,lag_cms_sickle_cell_disease,439,1250233,0.03511345485
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,lag_cond_acute_lymphoblastic_leukemia,338,1250233,0.02703496068
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,lag_hcc_162,150,1250233,0.01199776362
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,lag_cond_legionellosis,99,1250233,0.007918523987
